book_id,title,name_author,gender_author,nationality_author,publisher,perspective ,filename,OCR kwaliteit,
138,Tussen gisteren en morgen,"Niemeijer, J.E.",0,0,J. H. Kok,2,1965_Niemeijer_Tussengisterenenmorgen_verbeterd.txt,"er en zijn met spatie + z e (173x), a l (52x)",
139,De heilsleer van juffrouw François,"Roest Crollius, Barend",0,0,De Arbeiderspers,2,1965_RoestCrollius_Deheilsleervanjuffrouwfrancois_verbeterd.txt,,
140,Duivels fortuin,"Roothaert, A",0,0,Bruna,2,1965_Roothaert_Duivelsfortuin_verbeterd.txt,,
141,Daar zaten wij,"Sluyser, Meyer",0,0,Kosmos,1,1965_Sluyser_Daarzatenwij_verbeterd.txt,"Veel extra spaties: o.a. je (243x), jou, kan",
142,Spijkers zonder koppen,"Spoor, Victor",0,0,Contact,2,1965_Spoor_Spijkerszonderkoppen_verbeterd.txt,"Spaties: Ally, Nol, wij, e n (209x)",
143,Zeden en onzeden,"Staad, Geo",0,0,Bruna,1,1965_Staad_Zedenenonzeden.txt,Vreemde regelafbrekingen,
144,Het wolfsgetij,"Vries, Theun de",0,0,Pegasus,2,1965_Vries_Hetwolfsgetij.txt,,
145,De man uit Duitsland,"Walcheren, G van de",0,0,Meulenhoff,1,1965_Walcheren_Demanuitduitsland.txt,,
146,Banvloek,"Wertheim, Maurits",0,0,Elsevier,2,1965_Wertheim_Banvloek_verbeterd.txt,,
147,Terug naar Oegstgeest,"Wolkers, Jan",0,0,Meulenhoff,1,1965_Wolkers_Terugnaaroegstgeest.txt,,
148,Het snoer en de kralen,"Zandstra, Evert",0,0,Contact,2,1965_Zandstra_Hetsnoerendekralen_verbeterd.txt,Spatie in 'ja',
149,Code voor Dander,"Zikken, Aya",1,0,De Arbeiderspers,1,1965_Zikken_Codevoordander.txt,,
150,Een winterreis,"Brakman, Willem",0,0,Querido,2,1961_Brakman_EenWinterreis.txt,,
151,De overwinning,"Bernlef, J",0,0,Querido,2,1962_Bernlef_DeOverwinning.txt,,
152,De Verwondering,"Claus, Hugo",0,1,De Bezige Bij,1,1962_Claus_DeVerwondering.txt,,
153,Kort Amerikaans,"Wolkers, Jan",0,0,Meulenhoff,2,1962_Wolkers_KortAmerikaans.txt,,
154,Bij nader inzien,"Voskuil, J.J.",0,0,Van Oorschot,2,1963_Voskuil_BijNaderInzien.txt,,
155,Het nieuwe onkruid,"Boon, Louis Paul",0,1,De Arbeiderspers,1,1964_Boon_HetNieuweOnkruid.txt,,
