book_id,character_id,name,gender,Opmer,Opmer,Opmer,
49,7,Pasqualina,2,,,,
49,8,Luciani,1,,,,
49,9,Noël,1,,,,
49,10,Louis,1,,,,
49,11,Tao,1,,,,
50,1,Alida,2,,,,
50,2,Betsy,2,,,,
50,3,Neeltje,2,,,,
50,4,Paul,1,,,,
50,5,Karel,1,,,,
50,6,Willem,1,,,,
50,7,Thijs,1,,,,
50,8,Coba,2,,,,
50,9,Bertus,1,,,,
50,10,Sonja,2,,,,
50,11,Beppie,2,,,,
50,12,Sonja,2,,,,
50,13,Simone,2,,,,
50,14,Charles,1,,,,
50,15,Theo,1,,,,
50,16,Albert,1,,,,
50,17,Joyce,2,,,,
50,18,Anna,2,,,,
50,19,Rudi,1,,,,
50,20,Lena,2,,,,
50,21,Joke,2,,,,
50,22,Dirk,1,,,,
50,23,Gerrit,1,,,,
50,24,Van Hulst,1,,,,
50,25,Martin,1,,,,
51,1,Dian,1,,,,
51,2,Robert,1,,,,
51,3,Suzon,2,,,,
51,4,Jan de Kop,1,,,,
51,5,Henry,1,,,,
51,6,Druntinckx,2,,,,
51,7,Ties,1,,,,
51,8,Mary,2,,,,
51,9,Dolores,2,,,,
51,10,Liesbeth,2,,,,
51,11,Moppie,2,,,,
51,12,Jan de Leeuw,1,,,,
51,13,Stot,1,,,,
53,1,Jaap,1,,,,
53,2,Ally,2,,,,
53,3,Paul,1,,,,
53,4,Else,2,,,,
53,5,Nolleke,2,,,,
53,6,Koos,1,,,,
53,7,Carla,2,,,,
53,8,Lotty,2,,,,
53,9,Alma,2,,,,
53,10,Har,1,,,,
53,11,Geke,2,,,,
53,12,Luuk,1,,,,
54,1,Rudolf,1,,,,
54,2,Denise,2,,,,
54,3,Amay,1,,,,
54,4,Désirée,2,,,,
54,5,Kristien,2,,,,
54,6,Claude,1,,,,
54,7,Hermione,2,,,,
55,1,Mevrouw De Veer,2,,,,
55,2,Volkert,1,,,,
55,3,Guus,2,,,,
55,4,Mac,1,,,,
55,5,Bill,1,,,,
55,6,Kramer,1,,,,
55,7,Jane,2,,,,
55,8,Niek,1,,,,
55,9,Jaap,1,,,,
55,10,Annie,2,,,,
55,11,Joosten,1,,,,
56,1,Caro,2,,,,
56,2,Walt,1,,,,
56,3,José,2,,,,
56,4,Marre,1,,,,
56,5,Winnie,2,,,,
56,6,Allen,1,,,,
56,7,Wouters,1,,,,
57,1,Perquin,1,,,,
57,2,Henk,1,,,,
57,3,Van Waveren,1,,,,
57,4,Annette,2,,,,
57,5,Susanne,2,,,,
57,6,Diekman,1,,,,
57,7,Inge,2,,,,
57,8,Kees,1,,,,
57,9,Inge,2,,,,
57,10,Christine,2,,,,
57,11,Alsem,1,,,,
58,1,Ik,1,,,,
